"PRJ_CD","SPC","SPC_NM","ArithmeticmeanCATCNT","GeometricmeanCATCNT","SE","SD","RSE"
"LOA_IA23_NSF","232","Yellow bullhead",0,NA,0,0,NA
"LOA_IA23_NSF","320","Lepomis sp.",0,NA,0,0,NA
"LOA_IA23_NSI","015","Ichthyomyzon sp.",0,NA,0,0,NA
"LOA_IA23_NSI","061","Alewife",0,NA,0,0,NA
"LOA_IA23_NSI","132","Muskellunge",0,NA,0,0,NA
"LOA_IA23_NSI","171","Shorthead redhorse",0,NA,0,0,NA
"LOA_IA23_NSI","173","River redhorse",0,NA,0,0,NA
"LOA_IA23_NSI","177","Moxostoma sp.",0,NA,0,0,NA
"LOA_IA23_NSI","234","Channel catfish",0,NA,0,0,NA
"LOA_IA23_NSI","251","American eel",0,NA,0,0,NA
"LOA_IA23_NSI","301","White perch",0,NA,0,0,NA
"LOA_IA23_NSI","483","Tench",0,NA,0,0,NA
"LOA_IA23_NSI","502","Esocidae hybrids",0,NA,0,0,NA
"LOA_IA23_NSK","015","Ichthyomyzon sp.",0,NA,0,0,NA
"LOA_IA23_NSK","132","Muskellunge",0,NA,0,0,NA
"LOA_IA23_NSK","171","Shorthead redhorse",0,NA,0,0,NA
"LOA_IA23_NSK","172","Greater redhorse",0,NA,0,0,NA
"LOA_IA23_NSK","173","River redhorse",0,NA,0,0,NA
"LOA_IA23_NSK","177","Moxostoma sp.",0,NA,0,0,NA
"LOA_IA23_NSK","194","Golden shiner",0,NA,0,0,NA
"LOA_IA23_NSK","213","Fallfish",0,NA,0,0,NA
"LOA_IA23_NSK","232","Yellow bullhead",0,NA,0,0,NA
"LOA_IA23_NSK","320","Lepomis sp.",0,NA,0,0,NA
"LOA_IA23_NSK","483","Tench",0,NA,0,0,NA
"LOA_IA23_NSK","502","Esocidae hybrids",0,NA,0,0,NA
